title,link,snippet,displayLink
kaisaarumeel (Kaisa Arumeel) · GitHub,https://github.com/kaisaarumeel,"Nov 28, 2023 ... Software Architecture; Machine Learning and AI; Software Testing. Fun facts about me: As a side hustle, I work as a private tutor in Maths for Estonian ...",github.com
PacktPublishing/Software-Architecture-with-C-Sharp-12 ... - GitHub,https://github.com/PacktPublishing/Software-Architecture-with-C-Sharp-12-and-.NET-8-4E,"Feb 28, 2023 ... Code Repository for Software Architecture with .NET 8 Fourth Edition, Published by Packt - PacktPublishing/Software-Architecture-with-C-Sharp-12-and-.",github.com
xbeat/Machine-Learning: Cross Beat (xbe.at) - Your hub for ... - GitHub,https://github.com/xbeat/Machine-Learning,"Sep 12, 2024 ... ... NLP with Python.md · Add Exploring Word Embeddings in NLP with Python.md. 7 ... Generative AI with Python.md · Few-Shot Prompting in Generative AI with ...",github.com
Stanford-CS-Course/README.en.md at main · isLinXu/Stanford-CS ...,https://github.com/isLinXu/Stanford-CS-Course/blob/main/README.en.md,"Mar 23, 2024 ... CS229 Machine Learning · CS231N Convolutional Neural Networks for Visual ... CS190 Software Design Studio · CS193A Android App Development · CS193A Android ...",github.com
Daniel-Andarge (Daniel Andarge) · GitHub,https://github.com/Daniel-Andarge,"Feb 10, 2023 ... Looking collaboration opportunities on projects in Software Development, Data Engineering, and Machine Learning. ... Software-Design-and-Architecture ...",github.com
mdalmaruf (Md Al Maruf) · GitHub,https://github.com/mdalmaruf,"Oct 4, 2023 ... Focused on research in embedded software design and development, utilizing edge computing technologies to enhance machine learning model performance.",github.com
rai-shi (Aysenur Tak) · GitHub,https://github.com/rai-shi,"Mar 30, 2024 ... My interested area,. Artificial Intelligence (Machine Learning, Deep Learning, NLP, Computer Vision). Fullstack Web Development. Game ...",github.com
teguhteja/learn-codesignal-ml: Repo for learning ML via ... - GitHub,https://github.com/teguhteja/learn-codesignal-ml,"Nov 2, 2024 ... Machine Learning in Trading (using $TSLA); Algorithms and Data Structures in Python; AI Interviews - Software Design & Architecture; Django for Back-End ...",github.com
PatrickKalkman (Patrick Kalkman) · GitHub,https://github.com/PatrickKalkman,"1 day ago ... I'm currently learning Machine Learning; Ask me about Software Architecture, Python, C# & Microsoft .Net Development; How to reach me: patrick at ...",github.com
godatadriven/c4-model-example - GitHub,https://github.com/godatadriven/c4-model-example,"May 18, 2023 ... This repo was created as an example of how you can model your software architecture using the C4 model. ... Machine Learning model serving platform. This ...",github.com
ava-orange-education/Mastering-ChatGPT-and-Google ... - GitHub,https://github.com/ava-orange-education/Ultimate-ChatGPT-and-Google-Colab-for-Machine-Learning,"Sep 19, 2024 ... ... machine learning faster, smarter, and more accessible than ever before. Each ... Kickstart Software Design Architecture · Ultimate Big Data Analytics ...",github.com
superlinear-ai/awesome-machine-learning-engineer: A ... - GitHub,https://github.com/superlinear-ai/awesome-machine-learning-engineer,"Apr 3, 2022 ... Awesome Machine Learning Engineer. Awesome. For more awesomeness, check ... SOLID - A standard set of software architecture patterns (1 hour); What ...",github.com
Xuzzo (Fabio Peruzzo) · GitHub,https://github.com/Xuzzo,"Sep 2, 2023 ... aai-institute/beyond-jupyter Public. Software design principles for machine learning applications. Jupyter Notebook 352 24 · aai-institute/pyDVL aai-institute ...",github.com
animay7860 (Animay Prakash) · GitHub,https://github.com/animay7860,"Nov 30, 2023 ... I have also developed a Machine Learning Model that states that SMS is spam or not. ... A NLP project to find weather given 2 questions are same are not ...",github.com
bmcano/homework-assignments: Most of my programming ... - GitHub,https://github.com/bmcano/Homework-Assignments,"Dec 22, 2023 ... Machine Learning, Fall 2024. ECE:5550, Internet of Things, Spring 2024. ECE:5820 ... Generative AI Tools, Fall 2024. ECE:5995, Large Language Models - In ...",github.com
Machine-Learning/Thread-Safe Singleton Pattern in Python.md at ...,https://github.com/xbeat/Machine-Learning/blob/main/Thread-Safe%20Singleton%20Pattern%20in%20Python.md,"Sep 12, 2024 ... ... machine learning and AI tutorials. Explore ... These resources provide deeper insights into the Singleton pattern and its applications in software design.",github.com
GitHub - openmlsys/openmlsys-zh: 《Machine Learning Systems ...,https://github.com/openmlsys/openmlsys-zh,"Jun 27, 2022 ... ... 《Machine Learning Systems: Design and Implementation》- Chinese ... machine-learning textbook software-architecture computer-systems. Resources. Readme ...",github.com
karanpratapsingh/system-design: Learn how to design ... - GitHub,https://github.com/karanpratapsingh/system-design,"Aug 16, 2022 ... High-level component design. Now we have established our data model and API ... machine learning models which can take thousands of factors into consideration.",github.com
Software Engineering Research Group · GitHub,https://github.com/serg-Delft,"Nov 28, 2024 ... `dslinter` is a pylint plugin for linting data science and machine learning code. ... Efficient-Testing-for-Large-Language-Model-Evaluation-in-Software- ...",github.com
mec-app-solution-accelerator/docs ...,https://github.com/Azure/mec-app-solution-accelerator/blob/main/docs/ARCHITECTURE_MEC_ACCELERATOR.md,"Nov 10, 2024 ... Internal software architecture of the Edge/MEC Accelerator Application ... Machine Learning for training new AI models, etc. When moving to production you ...",github.com
